Date,Open,High,Low,Close,Volume,Adj Close
3/2/2016,7494.450195,7525.939941,7466.25,7517.169922,193700,7517.169922
3/1/2016,7368.549805,7512.390137,7368.549805,7500.299805,199100,7500.299805
2/29/2016,7395.649902,7423.279785,7344.240234,7345.029785,207200,7345.029785
2/26/2016,7387.609863,7464.060059,7377.439941,7405.029785,187100,7405.029785
2/25/2016,7298.97998,7369.819824,7250.009766,7369.580078,171000,7369.580078
2/24/2016,7282.899902,7309.950195,7129.430176,7290.879883,217300,7290.879883
2/23/2016,7373.910156,7375.790039,7278.640137,7325.169922,176200,7325.169922
2/22/2016,7341.439941,7463.629883,7341.439941,7421.109863,236800,7421.109863
2/19/2016,7273.950195,7297.72998,7192.540039,7285.950195,351400,7285.950195
2/18/2016,7329.439941,7339.72998,7233.959961,7284.72998,188900,7284.72998
2/17/2016,7227.350098,7383.160156,7225.220215,7326.450195,219900,7326.450195
2/16/2016,7069.890137,7228.049805,7041.689941,7209.560059,205400,7209.560059
2/12/2016,6903.109863,7050.72998,6903.109863,7048.689941,198500,7048.689941
2/11/2016,6948.370117,6954.209961,6794.319824,6883.490234,212900,6883.490234
2/10/2016,7007.700195,7100.310059,6979.339844,6983.939941,232700,6983.939941
2/9/2016,6908.830078,7038.939941,6842.859863,6996.299805,282600,6996.299805
2/8/2016,6918.029785,6953.540039,6791.390137,6924.310059,276000,6924.310059
2/5/2016,7038.089844,7069.160156,6920.680176,6942.819824,210600,6942.819824
2/4/2016,6836.100098,7058.649902,6831.899902,7051.25,221800,7051.25
2/3/2016,6792.669922,6857.299805,6655.859863,6834.759766,226700,6834.759766
2/2/2016,6947.569824,6947.569824,6740.720215,6764.160156,223400,6764.160156
2/1/2016,6887.149902,7000.810059,6848.930176,6968.830078,217000,6968.830078
1/29/2016,6716.839844,6906.759766,6693.990234,6906.759766,347800,6906.759766
1/28/2016,6771.839844,6789.75,6644.169922,6701.970215,256600,6701.970215
1/27/2016,6840.899902,6927.959961,6726.25,6756.120117,227600,6756.120117
1/26/2016,6666.029785,6819.899902,6666.029785,6815.759766,194800,6815.759766
1/25/2016,6770.620117,6770.620117,6643.709961,6651.779785,202900,6651.779785
1/22/2016,6712.080078,6878.97998,6712.080078,6778.540039,231700,6778.540039
1/21/2016,6624.25,6732.120117,6554.009766,6689.970215,276200,6689.970215
1/20/2016,6607.740234,6705.259766,6403.310059,6625.529785,333500,6625.529785
1/19/2016,6713.72998,6770.870117,6593,6657.200195,234400,6657.200195
1/15/2016,6763.740234,6763.740234,6560.109863,6689.060059,345700,6689.060059
1/14/2016,6731.029785,6848.890137,6621.379883,6799.919922,278100,6799.919922
1/13/2016,6988.200195,7013.790039,6675.540039,6721.370117,242200,6721.370117
1/12/2016,6932.350098,6982.959961,6876.120117,6978.209961,216300,6978.209961
1/11/2016,6964.140137,6994.47998,6820.660156,6914.560059,217500,6914.560059
